"Date":"Area.High":"Volume.High":"Area.Fluc":"Volume.Fluc":"Area.Low":"Volume.Low"
1990-09-29:"164":"35  ±  7":"258":"135 ± 10":"NA":"NA ± NA"
1991-07-27:"208":"40  ±  8":"288":"131 ± 12":"NA":"NA ± NA"
1992-10-25:"203":"16  ±  8":"295":"113 ± 12":"NA":"NA ± NA"
1993-10-17:"205":"30  ±  8":"230":"41 ± 9":"562":"368 ± 101"
1994-04-17:"206":"27  ±  8":"240":"33 ± 10":"549":"493 ± 99"
1994-11-27:"204":"22  ±  8":"259":"61 ± 10":"NA":"NA ± NA"
1995-05-03:"203":"23  ±  8":"273":"82 ± 11":"511":"437 ± 92"
1996-02-26:"209":"22  ±  8":"428":"256 ± 17":"346":"772 ± 62"
1996-04-26:"291":"203  ±  12":"310":"332 ± 12":"360":"761 ± 65"
1996-09-22:"264":"166  ±  11":"294":"255 ± 12":"458":"613 ± 83"
1997-02-21:"214":"121  ±  9":"210":"63 ± 8":"591":"60 ± 106"
1997-04-30:"269":"122  ±  11":"308":"380 ± 12":"428":"630 ± 77"
1997-09-01:"300":"120  ±  12":"273":"370 ± 11":"436":"522 ± 79"
1997-11-16:"237":"119  ±  9":"217":"154 ± 9":"NA":"NA ± NA"
1998-04-23:"229":"117  ±  9":"339":"277 ± 14":"359":"525 ± 65"
1999-05-14:"217":"79  ±  9":"236":"81 ± 9":"567":"329 ± 102"
2000-03-29:"211":"66  ±  8":"385":"254 ± 15":"408":"673 ± 73"
2000-06-13:"212":"70  ±  8":"189":"37 ± 8":"581":"285 ± 105"
2001-10-13:"240":"75  ±  10":"277":"190 ± 11":"NA":"NA ± NA"
2002-09-30:"223":"68  ±  9":"263":"157 ± 11":"NA":"NA ± NA"
2003-05-05:"221":"65  ±  9":"213":"98 ± 9":"NA":"NA ± NA"
2003-09-29:"227":"61  ±  9":"210":"75 ± 8":"NA":"NA ± NA"
2005-05-16:"226":"121  ±  9":"306":"212 ± 12":"NA":"NA ± NA"
2006-10-16:"247":"112  ±  10":"246":"156 ± 10":"NA":"NA ± NA"
2007-10-22:"249":"109  ±  10":"214":"151 ± 9":"NA":"NA ± NA"
2008-02-12:"249":"112  ±  10":"196":"124 ± 8":"576":"264 ± 63"
2008-04-07:"308":"210  ±  12":"230":"304 ± 9":"476":"514 ± 52"
2008-10-20:"249":"159  ±  10":"281":"175 ± 11":"NA":"NA ± NA"
2009-10-18:"264":"152  ±  11":"178":"133 ± 7":"NA":"NA ± NA"
2011-10-13:"258":"141  ±  10":"298":"259 ± 12":"NA":"NA ± NA"
2012-10-11:"264":"148  ±  11":"212":"143 ± 8":"NA":"NA ± NA"
2013-09-30:"295":"211  ±  12":"243":"248 ± 10":"NA":"NA ± NA"
2014-10-03:"276":"190  ±  11":"157":"161 ± 6":"NA":"NA ± NA"
2015-10-02:"272":"180  ±  11":"245":"192 ± 10":"NA":"NA ± NA"
